# generated_at,2026-07-20T19:31:39+00:00
post_type,label,publish,draft,pending,future,total
assets,Assets,167,1,0,0,168
award-recipients,"Award Recipients",4,0,0,0,4
branded-products,Products,19,5,0,0,24
case_studies,"Case Studies",151,5,0,0,156
clients,"Clients (To be removed)",20,0,0,0,20
donation_examples,"Donation Examples",32,0,0,0,32
events,Events,1,1,0,0,2
faq,FAQ,60,0,0,0,60
guides,"Guides & Research",21,3,0,0,24
infographics,Infographics,14,1,0,0,15
integrations,Integrations,62,0,0,0,62
interactive-tools,"Interactive Tools",4,0,0,0,4
jet-popup,JetPopup,4,0,0,0,4
lp,"Landing Pages",161,5,0,0,166
maintenance,"Maintenance Reports",1,0,0,0,1
page,Pages,57,10,0,0,67
post,Posts,536,6,0,0,542
press-article,Newsroom,58,1,0,0,59
product-overviews,"Product Overviews",9,0,0,0,9
solutions,Solutions,102,11,0,0,113
team,Team,8,0,0,0,8
testimonials,Testimonials,154,0,0,0,154
toolkits,Toolkits,6,0,0,0,6
video-testimonials,"Video Testimonials",1,0,0,0,1
videos,Videos,3,0,0,0,3
webinars,Webinars,142,7,0,0,149
whitepapers,Whitepapers,67,2,0,0,69
who-we-serve,Industries,6,2,0,0,8
